"","gene_name","gene_description","log2_fold_change","p_value","sample_type","data_source","ENSEMBL_ID","Present.in.the.16p11.2.Region"
"845","NAA60","N(alpha)-acetyltransferase 60, NatF catalytic subunit [Source:HGNC Symbol;Acc:25875]",0.547803193,0.173551246,"cortical organoid","Urresti et al. 2021","ENSG00000122390","No"
"846","ALDH6A1","aldehyde dehydrogenase 6 family, member A1 [Source:HGNC Symbol;Acc:7179]",-0.161828213,0.599994285,"cortical organoid","Urresti et al. 2021","ENSG00000119711","No"
"847","ACPL2","acid phosphatase-like 2 [Source:HGNC Symbol;Acc:26303]",-0.43910108,0.244578675,"cortical organoid","Urresti et al. 2021","ENSG00000155893","No"
"848","LRRC45","leucine rich repeat containing 45 [Source:HGNC Symbol;Acc:28302]",0.171170037,0.732573916,"cortical organoid","Urresti et al. 2021","ENSG00000169683","No"
"849","MRTO4","mRNA turnover 4 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:18477]",0.255440759,0.227276583,"cortical organoid","Urresti et al. 2021","ENSG00000053372","No"
"850","CDC34","cell division cycle 34 [Source:HGNC Symbol;Acc:1734]",0.218573778,0.301594642,"cortical organoid","Urresti et al. 2021","ENSG00000099804","No"
"851","STAG3L5P","stromal antigen 3-like 5 pseudogene [Source:HGNC Symbol;Acc:48896]",0.055041683,0.970006878,"cortical organoid","Urresti et al. 2021","ENSG00000242294","No"
"852","ZNF25","zinc finger protein 25 [Source:HGNC Symbol;Acc:13043]",-0.302368418,0.262579336,"cortical organoid","Urresti et al. 2021","ENSG00000175395","No"
"853","SENP3","SUMO1/sentrin/SMT3 specific peptidase 3 [Source:HGNC Symbol;Acc:17862]",0.093726985,0.631661914,"cortical organoid","Urresti et al. 2021","ENSG00000161956","No"
"854","RGAG4","retrotransposon gag domain containing 4 [Source:HGNC Symbol;Acc:29430]",0.319233289,0.340923967,"cortical organoid","Urresti et al. 2021","ENSG00000242732","No"
"855","ZNF827","zinc finger protein 827 [Source:HGNC Symbol;Acc:27193]",-0.213105488,0.458839611,"cortical organoid","Urresti et al. 2021","ENSG00000151612","No"
"856","SLC6A9","solute carrier family 6 (neurotransmitter transporter, glycine), member 9 [Source:HGNC Symbol;Acc:11056]",0.57078704,0.306235736,"cortical organoid","Urresti et al. 2021","ENSG00000196517","No"
"857","COMMD6","COMM domain containing 6 [Source:HGNC Symbol;Acc:24015]",-0.286994161,0.106695657,"cortical organoid","Urresti et al. 2021","ENSG00000188243","No"
"858","MARCH3","membrane-associated ring finger (C3HC4) 3, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:28728]",-0.81667801,0.221084057,"cortical organoid","Urresti et al. 2021","ENSG00000173926","No"
"859","BOP1","block of proliferation 1 [Source:HGNC Symbol;Acc:15519]",0.271463171,0.527787054,"cortical organoid","Urresti et al. 2021","ENSG00000170727","No"
"860","ZNF232","zinc finger protein 232 [Source:HGNC Symbol;Acc:13026]",0.217361393,0.458082024,"cortical organoid","Urresti et al. 2021","ENSG00000167840","No"
"861","KDM3B","lysine (K)-specific demethylase 3B [Source:HGNC Symbol;Acc:1337]",-0.275492548,0.086917997,"cortical organoid","Urresti et al. 2021","ENSG00000120733","No"
"862","GARS","glycyl-tRNA synthetase [Source:HGNC Symbol;Acc:4162]",0.210680656,0.433261398,"cortical organoid","Urresti et al. 2021","ENSG00000106105","No"
"863","U3","Small nucleolar RNA U3 [Source:RFAM;Acc:RF00012]",-1.586589709,0.045948064,"cortical organoid","Urresti et al. 2021","ENSG00000212195","No"
"864","SEMA4F","sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4F [Source:HGNC Symbol;Acc:10734]",0.075287705,0.804953698,"cortical organoid","Urresti et al. 2021","ENSG00000135622","No"
"865","TMEM255A","transmembrane protein 255A [Source:HGNC Symbol;Acc:26086]",-0.853928934,0.309182783,"cortical organoid","Urresti et al. 2021","ENSG00000125355","No"
"866","SUV420H2","suppressor of variegation 4-20 homolog 2 (Drosophila) [Source:HGNC Symbol;Acc:28405]",0.095809003,0.837031031,"cortical organoid","Urresti et al. 2021","ENSG00000133247","No"
"867","SEMA5B","sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5B [Source:HGNC Symbol;Acc:10737]",-0.819587621,0.270653681,"cortical organoid","Urresti et al. 2021","ENSG00000082684","No"
"868","BICD2","bicaudal D homolog 2 (Drosophila) [Source:HGNC Symbol;Acc:17208]",0.153260987,0.386179648,"cortical organoid","Urresti et al. 2021","ENSG00000185963","No"
"869","FAM172A","family with sequence similarity 172, member A [Source:HGNC Symbol;Acc:25365]",-0.245864047,0.214552554,"cortical organoid","Urresti et al. 2021","ENSG00000113391","No"
"870","EGFEM1P","EGF-like and EMI domain containing 1, pseudogene [Source:HGNC Symbol;Acc:25149]",-0.534822175,0.292678169,"cortical organoid","Urresti et al. 2021","ENSG00000206120","No"
"871","FTO","fat mass and obesity associated [Source:HGNC Symbol;Acc:24678]",-0.115959442,0.671555227,"cortical organoid","Urresti et al. 2021","ENSG00000140718","No"
"872","PTPRD","protein tyrosine phosphatase, receptor type, D [Source:HGNC Symbol;Acc:9668]",-0.3991454,0.122199721,"cortical organoid","Urresti et al. 2021","ENSG00000153707","No"
"873","TCP10L","t-complex 10-like [Source:HGNC Symbol;Acc:11657]",1.094166057,0.115298717,"cortical organoid","Urresti et al. 2021","ENSG00000242220","No"
"874","KCNJ2-AS1","KCNJ2 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:43720]",-0.794925916,0.47227083,"cortical organoid","Urresti et al. 2021","ENSG00000267365","No"
"875","SSU72","SSU72 RNA polymerase II CTD phosphatase homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:25016]",0.186112427,0.279402243,"cortical organoid","Urresti et al. 2021","ENSG00000160075","No"
"876","MARC2","mitochondrial amidoxime reducing component 2 [Source:HGNC Symbol;Acc:26064]",-0.003682477,0.994892133,"cortical organoid","Urresti et al. 2021","ENSG00000117791","No"
"877","DUSP10","dual specificity phosphatase 10 [Source:HGNC Symbol;Acc:3065]",0.402667223,0.382824639,"cortical organoid","Urresti et al. 2021","ENSG00000143507","No"
"878","ARFGEF2","ADP-ribosylation factor guanine nucleotide-exchange factor 2 (brefeldin A-inhibited) [Source:HGNC Symbol;Acc:15853]",0.20543841,0.266732232,"cortical organoid","Urresti et al. 2021","ENSG00000124198","No"
"879","STX1A","syntaxin 1A (brain) [Source:HGNC Symbol;Acc:11433]",0.403091297,0.272675813,"cortical organoid","Urresti et al. 2021","ENSG00000106089","No"
"880","SLC50A1","solute carrier family 50 (sugar efflux transporter), member 1 [Source:HGNC Symbol;Acc:30657]",-0.18080893,0.614714909,"cortical organoid","Urresti et al. 2021","ENSG00000169241","No"
"881","ANKRD6","ankyrin repeat domain 6 [Source:HGNC Symbol;Acc:17280]",-0.786599507,0.063488829,"cortical organoid","Urresti et al. 2021","ENSG00000135299","No"
"882","FMN2","formin 2 [Source:HGNC Symbol;Acc:14074]",-0.189025434,0.614602709,"cortical organoid","Urresti et al. 2021","ENSG00000155816","No"
"883","ROM1","retinal outer segment membrane protein 1 [Source:HGNC Symbol;Acc:10254]",-0.542694986,0.516167016,"cortical organoid","Urresti et al. 2021","ENSG00000149489","No"
"884","ZBTB2","zinc finger and BTB domain containing 2 [Source:HGNC Symbol;Acc:20868]",0.230325733,0.228733804,"cortical organoid","Urresti et al. 2021","ENSG00000181472","No"
"885","RP11-11N9.4","",-0.374868915,0.509525669,"cortical organoid","Urresti et al. 2021","ENSG00000247134","No"
"886","PFKL","phosphofructokinase, liver [Source:HGNC Symbol;Acc:8876]",-0.15956302,0.490805268,"cortical organoid","Urresti et al. 2021","ENSG00000141959","No"
"887","PCCA","propionyl CoA carboxylase, alpha polypeptide [Source:HGNC Symbol;Acc:8653]",-0.205621312,0.467276996,"cortical organoid","Urresti et al. 2021","ENSG00000175198","No"
"888","MTERF","mitochondrial transcription termination factor [Source:HGNC Symbol;Acc:21463]",0.457249372,0.124918417,"cortical organoid","Urresti et al. 2021","ENSG00000127989","No"
"889","NOL10","nucleolar protein 10 [Source:HGNC Symbol;Acc:25862]",0.172659035,0.313997132,"cortical organoid","Urresti et al. 2021","ENSG00000115761","No"
"890","C4orf33","chromosome 4 open reading frame 33 [Source:HGNC Symbol;Acc:27025]",-0.389210797,0.349365315,"cortical organoid","Urresti et al. 2021","ENSG00000151470","No"
"891","FOS","FBJ murine osteosarcoma viral oncogene homolog [Source:HGNC Symbol;Acc:3796]",0.946760307,0.250456114,"cortical organoid","Urresti et al. 2021","ENSG00000170345","No"
"892","KCNJ2","potassium inwardly-rectifying channel, subfamily J, member 2 [Source:HGNC Symbol;Acc:6263]",-0.839007108,0.455859565,"cortical organoid","Urresti et al. 2021","ENSG00000123700","No"
"893","RRP1","ribosomal RNA processing 1 [Source:HGNC Symbol;Acc:18785]",0.156341034,0.594156021,"cortical organoid","Urresti et al. 2021","ENSG00000160214","No"
"894","SCARNA13","small Cajal body-specific RNA 13 [Source:HGNC Symbol;Acc:32570]",-0.482282727,0.137621988,"cortical organoid","Urresti et al. 2021","ENSG00000252481","No"
"895","RAB11A","RAB11A, member RAS oncogene family [Source:HGNC Symbol;Acc:9760]",-0.170132666,0.305044405,"cortical organoid","Urresti et al. 2021","ENSG00000103769","No"
"896","RUNX1T1","runt-related transcription factor 1; translocated to, 1 (cyclin D-related) [Source:HGNC Symbol;Acc:1535]",-0.778585446,0.118465381,"cortical organoid","Urresti et al. 2021","ENSG00000079102","No"
"897","RP11-345J4.8","",0.789055589,0.375602861,"cortical organoid","Urresti et al. 2021","ENSG00000205534","No"
"898","BHLHE22","basic helix-loop-helix family, member e22 [Source:HGNC Symbol;Acc:11963]",1.607551889,0.253837858,"cortical organoid","Urresti et al. 2021","ENSG00000180828","No"
"899","ETF1","eukaryotic translation termination factor 1 [Source:HGNC Symbol;Acc:3477]",0.163518599,0.232305328,"cortical organoid","Urresti et al. 2021","ENSG00000120705","No"
"900","FREM1","FRAS1 related extracellular matrix 1 [Source:HGNC Symbol;Acc:23399]",-0.885059102,0.425224719,"cortical organoid","Urresti et al. 2021","ENSG00000164946","No"
"901","GPR56","G protein-coupled receptor 56 [Source:HGNC Symbol;Acc:4512]",-0.768009677,0.205526413,"cortical organoid","Urresti et al. 2021","ENSG00000205336","No"
"902","SNORA48","small nucleolar RNA, H/ACA box 48 [Source:HGNC Symbol;Acc:32641]",-0.905212443,0.275559204,"cortical organoid","Urresti et al. 2021","ENSG00000209582","No"
"903","ZNF398","zinc finger protein 398 [Source:HGNC Symbol;Acc:18373]",0.245171758,0.110688547,"cortical organoid","Urresti et al. 2021","ENSG00000197024","No"
"904","MYOF","myoferlin [Source:HGNC Symbol;Acc:3656]",0.728928478,0.047244848,"cortical organoid","Urresti et al. 2021","ENSG00000138119","No"
"905","TMEM184B","transmembrane protein 184B [Source:HGNC Symbol;Acc:1310]",0.191171634,0.373432956,"cortical organoid","Urresti et al. 2021","ENSG00000198792","No"
"906","SARS","seryl-tRNA synthetase [Source:HGNC Symbol;Acc:10537]",0.148349854,0.624610029,"cortical organoid","Urresti et al. 2021","ENSG00000031698","No"
"907","KCTD15","potassium channel tetramerization domain containing 15 [Source:HGNC Symbol;Acc:23297]",0.361433496,0.18885882,"cortical organoid","Urresti et al. 2021","ENSG00000153885","No"
"908","HMGCS2","3-hydroxy-3-methylglutaryl-CoA synthase 2 (mitochondrial) [Source:HGNC Symbol;Acc:5008]",0.734896199,0.338550876,"cortical organoid","Urresti et al. 2021","ENSG00000134240","No"
"909","DFFB","DNA fragmentation factor, 40kDa, beta polypeptide (caspase-activated DNase) [Source:HGNC Symbol;Acc:2773]",0.517099808,0.125025586,"cortical organoid","Urresti et al. 2021","ENSG00000169598","No"
"910","ZNF571-AS1","ZNF571 antisense RNA 1 [Source:HGNC Symbol;Acc:44324]",-0.296435623,0.873721451,"cortical organoid","Urresti et al. 2021","ENSG00000267470","No"
"911","ASCL1","achaete-scute family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:738]",0.488555131,0.617452067,"cortical organoid","Urresti et al. 2021","ENSG00000139352","No"
"912","CTC-503J8.6","",0.218147346,0.542257605,"cortical organoid","Urresti et al. 2021","ENSG00000267427","No"
"913","AGBL3","ATP/GTP binding protein-like 3 [Source:HGNC Symbol;Acc:27981]",0.371447507,0.563525774,"cortical organoid","Urresti et al. 2021","ENSG00000146856","No"
"914","DDX11","DEAD/H (Asp-Glu-Ala-Asp/His) box helicase 11 [Source:HGNC Symbol;Acc:2736]",0.67369552,0.157030256,"cortical organoid","Urresti et al. 2021","ENSG00000013573","No"
"915","ZEB1-AS1","ZEB1 antisense RNA 1 [Source:HGNC Symbol;Acc:42354]",-0.277699675,0.31550972,"cortical organoid","Urresti et al. 2021","ENSG00000237036","No"
"916","ZFP14","ZFP14 zinc finger protein [Source:HGNC Symbol;Acc:29312]",-0.261519408,0.269416846,"cortical organoid","Urresti et al. 2021","ENSG00000142065","No"
"917","MS4A8","membrane-spanning 4-domains, subfamily A, member 8 [Source:HGNC Symbol;Acc:13380]",-0.757843583,0.191573664,"cortical organoid","Urresti et al. 2021","ENSG00000166959","No"
"918","EIF3H","eukaryotic translation initiation factor 3, subunit H [Source:HGNC Symbol;Acc:3273]",-0.243243667,0.113175679,"cortical organoid","Urresti et al. 2021","ENSG00000147677","No"
"919","NOV","nephroblastoma overexpressed [Source:HGNC Symbol;Acc:7885]",-0.357342587,0.791253516,"cortical organoid","Urresti et al. 2021","ENSG00000136999","No"
"920","KIRREL3","kin of IRRE like 3 (Drosophila) [Source:HGNC Symbol;Acc:23204]",-1.080906328,0.110876517,"cortical organoid","Urresti et al. 2021","ENSG00000149571","No"
"921","NAB2","NGFI-A binding protein 2 (EGR1 binding protein 2) [Source:HGNC Symbol;Acc:7627]",0.280428378,0.250807877,"cortical organoid","Urresti et al. 2021","ENSG00000166886","No"
"922","UBE3B","ubiquitin protein ligase E3B [Source:HGNC Symbol;Acc:13478]",0.04615967,0.849396068,"cortical organoid","Urresti et al. 2021","ENSG00000151148","No"
"923","JPH4","junctophilin 4 [Source:HGNC Symbol;Acc:20156]",0.318659445,0.275559204,"cortical organoid","Urresti et al. 2021","ENSG00000092051","No"
"924","SLC9A6","solute carrier family 9, subfamily A (NHE6, cation proton antiporter 6), member 6 [Source:HGNC Symbol;Acc:11079]",-0.279556251,0.045839693,"cortical organoid","Urresti et al. 2021","ENSG00000198689","No"
"925","RPAIN","RPA interacting protein [Source:HGNC Symbol;Acc:28641]",0.163235823,0.427104067,"cortical organoid","Urresti et al. 2021","ENSG00000129197","No"
"926","BCRP2","breakpoint cluster region pseudogene 2 [Source:HGNC Symbol;Acc:1015]",0.275017821,0.879086055,"cortical organoid","Urresti et al. 2021","ENSG00000169668","No"
"927","ZNFX1","zinc finger, NFX1-type containing 1 [Source:HGNC Symbol;Acc:29271]",0.30344015,0.206374666,"cortical organoid","Urresti et al. 2021","ENSG00000124201","No"
"928","LTBP4","latent transforming growth factor beta binding protein 4 [Source:HGNC Symbol;Acc:6717]",0.431019549,0.357330809,"cortical organoid","Urresti et al. 2021","ENSG00000090006","No"
"929","FLCN","folliculin [Source:HGNC Symbol;Acc:27310]",0.203874958,0.544337886,"cortical organoid","Urresti et al. 2021","ENSG00000154803","No"
"930","HEPH","hephaestin [Source:HGNC Symbol;Acc:4866]",-0.36190114,0.459356366,"cortical organoid","Urresti et al. 2021","ENSG00000089472","No"
"931","RNF19A","ring finger protein 19A, RBR E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:13432]",-0.219187661,0.215299385,"cortical organoid","Urresti et al. 2021","ENSG00000034677","No"
"932","RPL7","ribosomal protein L7 [Source:HGNC Symbol;Acc:10363]",-0.376580642,0.045948064,"cortical organoid","Urresti et al. 2021","ENSG00000147604","No"
"933","COLEC12","collectin sub-family member 12 [Source:HGNC Symbol;Acc:16016]",-0.627631639,0.288900829,"cortical organoid","Urresti et al. 2021","ENSG00000158270","No"
"934","LSM5","LSM5 homolog, U6 small nuclear RNA associated (S. cerevisiae) [Source:HGNC Symbol;Acc:17162]",-0.179257206,0.390335863,"cortical organoid","Urresti et al. 2021","ENSG00000106355","No"
"935","XPOT","exportin, tRNA [Source:HGNC Symbol;Acc:12826]",0.178164054,0.447363766,"cortical organoid","Urresti et al. 2021","ENSG00000184575","No"
"936","STMN3","stathmin-like 3 [Source:HGNC Symbol;Acc:15926]",-0.45729851,0.215197485,"cortical organoid","Urresti et al. 2021","ENSG00000197457","No"
"937","BBS2","Bardet-Biedl syndrome 2 [Source:HGNC Symbol;Acc:967]",-0.207104197,0.486820531,"cortical organoid","Urresti et al. 2021","ENSG00000125124","No"
"938","DOC2B","double C2-like domains, beta [Source:HGNC Symbol;Acc:2986]",-0.60634074,0.231784656,"cortical organoid","Urresti et al. 2021","ENSG00000272636","No"
"939","SEMA4A","sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4A [Source:HGNC Symbol;Acc:10729]",-0.499696784,0.458839611,"cortical organoid","Urresti et al. 2021","ENSG00000196189","No"
"940","HIST1H4K","histone cluster 1, H4k [Source:HGNC Symbol;Acc:4784]",-0.722325665,0.369119466,"cortical organoid","Urresti et al. 2021","ENSG00000197914","No"
"941","CENPW","centromere protein W [Source:HGNC Symbol;Acc:21488]",0.14297609,0.784622823,"cortical organoid","Urresti et al. 2021","ENSG00000203760","No"
"942","CACNA2D3","calcium channel, voltage-dependent, alpha 2/delta subunit 3 [Source:HGNC Symbol;Acc:15460]",0.65654404,0.349365315,"cortical organoid","Urresti et al. 2021","ENSG00000157445","No"
"943","VCAN","versican [Source:HGNC Symbol;Acc:2464]",-0.26639,0.41304046,"cortical organoid","Urresti et al. 2021","ENSG00000038427","No"
"944","DISP1","dispatched homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:19711]",-0.131838826,0.685978597,"cortical organoid","Urresti et al. 2021","ENSG00000154309","No"
"945","SLCO5A1","solute carrier organic anion transporter family, member 5A1 [Source:HGNC Symbol;Acc:19046]",0.752321279,0.349365315,"cortical organoid","Urresti et al. 2021","ENSG00000137571","No"
"946","RPL32","ribosomal protein L32 [Source:HGNC Symbol;Acc:10336]",-0.316225576,0.105610365,"cortical organoid","Urresti et al. 2021","ENSG00000144713","No"
"947",NA,NA,-0.370946232,0.501298525,"cortical organoid","Urresti et al. 2021","ENSGR0000169093","No"
"948","UBE2Q2P3","ubiquitin-conjugating enzyme E2Q family member 2 pseudogene 3 [Source:HGNC Symbol;Acc:37669]",1.115709179,0.127940916,"cortical organoid","Urresti et al. 2021","ENSG00000259429","No"
"949","ZNF202","zinc finger protein 202 [Source:HGNC Symbol;Acc:12994]",0.145577196,0.712556261,"cortical organoid","Urresti et al. 2021","ENSG00000166261","No"
"950","WDR33","WD repeat domain 33 [Source:HGNC Symbol;Acc:25651]",0.194746826,0.342802591,"cortical organoid","Urresti et al. 2021","ENSG00000136709","No"
"951","SLC44A1","solute carrier family 44 (choline transporter), member 1 [Source:HGNC Symbol;Acc:18798]",-0.215726625,0.467016317,"cortical organoid","Urresti et al. 2021","ENSG00000070214","No"
"952","LARGE","like-glycosyltransferase [Source:HGNC Symbol;Acc:6511]",-0.449347345,0.082856969,"cortical organoid","Urresti et al. 2021","ENSG00000133424","No"
"953","IARS","isoleucyl-tRNA synthetase [Source:HGNC Symbol;Acc:5330]",0.066900072,0.870024254,"cortical organoid","Urresti et al. 2021","ENSG00000196305","No"
"954","PRMT2","protein arginine methyltransferase 2 [Source:HGNC Symbol;Acc:5186]",-0.241656187,0.178121945,"cortical organoid","Urresti et al. 2021","ENSG00000160310","No"
"955","PSMD8","proteasome (prosome, macropain) 26S subunit, non-ATPase, 8 [Source:HGNC Symbol;Acc:9566]",0.100178596,0.702205401,"cortical organoid","Urresti et al. 2021","ENSG00000099341","No"
"956","GBX2","gastrulation brain homeobox 2 [Source:HGNC Symbol;Acc:4186]",-1.248972003,0.59080067,"cortical organoid","Urresti et al. 2021","ENSG00000168505","No"
"957","STXBP2","syntaxin binding protein 2 [Source:HGNC Symbol;Acc:11445]",0.578651618,0.277236206,"cortical organoid","Urresti et al. 2021","ENSG00000076944","No"
"958","ADAMTS7","ADAM metallopeptidase with thrombospondin type 1 motif, 7 [Source:HGNC Symbol;Acc:223]",-0.475391155,0.379762134,"cortical organoid","Urresti et al. 2021","ENSG00000136378","No"
"959","SLC25A40","solute carrier family 25, member 40 [Source:HGNC Symbol;Acc:29680]",-0.142001652,0.544337886,"cortical organoid","Urresti et al. 2021","ENSG00000075303","No"
"960","CACNA1A","calcium channel, voltage-dependent, P/Q type, alpha 1A subunit [Source:HGNC Symbol;Acc:1388]",0.713270462,0.330987759,"cortical organoid","Urresti et al. 2021","ENSG00000141837","No"
"961","ARHGAP10","Rho GTPase activating protein 10 [Source:HGNC Symbol;Acc:26099]",-0.315434904,0.774279482,"cortical organoid","Urresti et al. 2021","ENSG00000071205","No"
"962","ATP2B2","ATPase, Ca++ transporting, plasma membrane 2 [Source:HGNC Symbol;Acc:815]",0.592735111,0.423767123,"cortical organoid","Urresti et al. 2021","ENSG00000157087","No"
"963","ZNF883","zinc finger protein 883 [Source:HGNC Symbol;Acc:27271]",-0.194077807,0.724693953,"cortical organoid","Urresti et al. 2021","ENSG00000228623","No"
"964","SORBS1","sorbin and SH3 domain containing 1 [Source:HGNC Symbol;Acc:14565]",-0.704080324,0.34093463,"cortical organoid","Urresti et al. 2021","ENSG00000095637","No"
"965","TRIP13","thyroid hormone receptor interactor 13 [Source:HGNC Symbol;Acc:12307]",0.53370301,0.123459541,"cortical organoid","Urresti et al. 2021","ENSG00000071539","No"
"966","ZNF441","zinc finger protein 441 [Source:HGNC Symbol;Acc:20875]",-0.351910244,0.490805268,"cortical organoid","Urresti et al. 2021","ENSG00000197044","No"
"967","DNTTIP2","deoxynucleotidyltransferase, terminal, interacting protein 2 [Source:HGNC Symbol;Acc:24013]",0.191768116,0.337347774,"cortical organoid","Urresti et al. 2021","ENSG00000067334","No"
"968","NKAIN3","Na+/K+ transporting ATPase interacting 3 [Source:HGNC Symbol;Acc:26829]",-0.502714849,0.704435353,"cortical organoid","Urresti et al. 2021","ENSG00000185942","No"
"969","ANGPT1","angiopoietin 1 [Source:HGNC Symbol;Acc:484]",-2.225353191,0.086875612,"cortical organoid","Urresti et al. 2021","ENSG00000154188","No"
"970","SCD5","stearoyl-CoA desaturase 5 [Source:HGNC Symbol;Acc:21088]",-0.119420798,0.685024211,"cortical organoid","Urresti et al. 2021","ENSG00000145284","No"
"971","DHRS7","dehydrogenase/reductase (SDR family) member 7 [Source:HGNC Symbol;Acc:21524]",-0.312355062,0.062565507,"cortical organoid","Urresti et al. 2021","ENSG00000100612","No"
"972","MRPS34","mitochondrial ribosomal protein S34 [Source:HGNC Symbol;Acc:16618]",0.135438285,0.552950664,"cortical organoid","Urresti et al. 2021","ENSG00000074071","No"
"973","LRRC8D","leucine rich repeat containing 8 family, member D [Source:HGNC Symbol;Acc:16992]",-0.498833302,0.040186324,"cortical organoid","Urresti et al. 2021","ENSG00000171492","No"
"974","PRRX1","paired related homeobox 1 [Source:HGNC Symbol;Acc:9142]",-0.420544706,0.706305526,"cortical organoid","Urresti et al. 2021","ENSG00000116132","No"
"975","LINC00641","long intergenic non-protein coding RNA 641 [Source:HGNC Symbol;Acc:27511]",0.219836514,0.461006976,"cortical organoid","Urresti et al. 2021","ENSG00000258441","No"
"976","RP3-324O17.4","",-0.712892388,0.461873714,"cortical organoid","Urresti et al. 2021","ENSG00000101898","No"
"977","SPTBN4","spectrin, beta, non-erythrocytic 4 [Source:HGNC Symbol;Acc:14896]",0.41043641,0.349365315,"cortical organoid","Urresti et al. 2021","ENSG00000160460","No"
"978","SEMA3F","sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F [Source:HGNC Symbol;Acc:10728]",0.468942245,0.125168164,"cortical organoid","Urresti et al. 2021","ENSG00000001617","No"
"979","UBE2G2","ubiquitin-conjugating enzyme E2G 2 [Source:HGNC Symbol;Acc:12483]",0.054381237,0.88945127,"cortical organoid","Urresti et al. 2021","ENSG00000184787","No"
"980","ASXL3","additional sex combs like 3 (Drosophila) [Source:HGNC Symbol;Acc:29357]",-0.403250167,0.124044407,"cortical organoid","Urresti et al. 2021","ENSG00000141431","No"
"981","NEUROG2","neurogenin 2 [Source:HGNC Symbol;Acc:13805]",2.151786708,0.422641313,"cortical organoid","Urresti et al. 2021","ENSG00000178403","No"
"982","RP11-338N10.3","",-0.783764137,0.619774362,"cortical organoid","Urresti et al. 2021","ENSG00000269978","No"
"983","VSTM2L","V-set and transmembrane domain containing 2 like [Source:HGNC Symbol;Acc:16096]",-0.688555408,0.221084057,"cortical organoid","Urresti et al. 2021","ENSG00000132821","No"
"984","ZNF580","zinc finger protein 580 [Source:HGNC Symbol;Acc:29473]",-0.116303384,0.825981846,"cortical organoid","Urresti et al. 2021","ENSG00000213015","No"
"985","CDC42EP2","CDC42 effector protein (Rho GTPase binding) 2 [Source:HGNC Symbol;Acc:16263]",-0.438136898,0.328118941,"cortical organoid","Urresti et al. 2021","ENSG00000149798","No"
"986","RP11-539L10.3","",-0.64341272,0.326518666,"cortical organoid","Urresti et al. 2021","ENSG00000251580","No"
"987","FZD7","frizzled family receptor 7 [Source:HGNC Symbol;Acc:4045]",0.375420517,0.503012948,"cortical organoid","Urresti et al. 2021","ENSG00000155760","No"
"988","NKRF","NFKB repressing factor [Source:HGNC Symbol;Acc:19374]",0.187205808,0.434127715,"cortical organoid","Urresti et al. 2021","ENSG00000186416","No"
"989","PANX2","pannexin 2 [Source:HGNC Symbol;Acc:8600]",0.601449471,0.407881626,"cortical organoid","Urresti et al. 2021","ENSG00000073150","No"
"990","ARHGAP44","Rho GTPase activating protein 44 [Source:HGNC Symbol;Acc:29096]",0.402714256,0.175389661,"cortical organoid","Urresti et al. 2021","ENSG00000006740","No"
"991","C20orf194","chromosome 20 open reading frame 194 [Source:HGNC Symbol;Acc:17721]",-0.252892376,0.175851963,"cortical organoid","Urresti et al. 2021","ENSG00000088854","No"
"992","ZSWIM6","zinc finger, SWIM-type containing 6 [Source:HGNC Symbol;Acc:29316]",-0.286193524,0.329637191,"cortical organoid","Urresti et al. 2021","ENSG00000130449","No"
"993","C11orf48","chromosome 11 open reading frame 48 [Source:HGNC Symbol;Acc:28351]",0.121378985,0.688328398,"cortical organoid","Urresti et al. 2021","ENSG00000162194","No"
"994","DLL3","delta-like 3 (Drosophila) [Source:HGNC Symbol;Acc:2909]",0.551253479,0.528450212,"cortical organoid","Urresti et al. 2021","ENSG00000090932","No"
"995","HEATR5A","HEAT repeat containing 5A [Source:HGNC Symbol;Acc:20276]",-0.497594454,0.021590513,"cortical organoid","Urresti et al. 2021","ENSG00000129493","No"
"996","ALDH4A1","aldehyde dehydrogenase 4 family, member A1 [Source:HGNC Symbol;Acc:406]",-0.263707894,0.515119962,"cortical organoid","Urresti et al. 2021","ENSG00000159423","No"
"997","MYO10","myosin X [Source:HGNC Symbol;Acc:7593]",0.149149787,0.749073934,"cortical organoid","Urresti et al. 2021","ENSG00000145555","No"
"998","SPRYD7","SPRY domain containing 7 [Source:HGNC Symbol;Acc:14297]",-0.124579085,0.700694715,"cortical organoid","Urresti et al. 2021","ENSG00000123178","No"
"999","EXOSC7","exosome component 7 [Source:HGNC Symbol;Acc:28112]",-0.207036024,0.240789293,"cortical organoid","Urresti et al. 2021","ENSG00000075914","No"
"1000","KDSR","3-ketodihydrosphingosine reductase [Source:HGNC Symbol;Acc:4021]",0.115193556,0.588311146,"cortical organoid","Urresti et al. 2021","ENSG00000119537","No"
