"gene_name","gene_description","log2_fold_change","p_value","sample_type","data_source","ENSEMBL_ID","Present.in.the.16p11.2.Region"
"C9orf85","chromosome 9 open reading frame 85 [Source:HGNC Symbol;Acc:28784]",0.230664721,0.042875396,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000155621","No"
"RPS20","ribosomal protein S20 [Source:HGNC Symbol;Acc:10405]",-0.049086115,0.509490625,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000008988","No"
"TMEM5","transmembrane protein 5 [Source:HGNC Symbol;Acc:13530]",-0.123525707,0.157667924,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000118600","No"
"TMEM179","transmembrane protein 179 [Source:HGNC Symbol;Acc:20137]",-0.361185084,0.317975879,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000258986","No"
"SLC52A2","solute carrier family 52 (riboflavin transporter), member 2 [Source:HGNC Symbol;Acc:30224]",-0.141653298,0.293847161,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000185803","No"
"ZNF761","zinc finger protein 761 [Source:HGNC Symbol;Acc:23179]",-0.050993972,0.572465078,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000160336","No"
"PKD1P1","polycystic kidney disease 1 (autosomal dominant) pseudogene 1 [Source:HGNC Symbol;Acc:30065]",-0.191835679,0.608214816,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000244257","No"
"PDCD5","programmed cell death 5 [Source:HGNC Symbol;Acc:8764]",-0.065699087,0.369579836,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000105185","No"
"C1orf228","chromosome 1 open reading frame 228 [Source:HGNC Symbol;Acc:34345]",-0.440903824,0.073861801,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000198520","No"
"RP3-428L16.2","",-0.161730052,0.365459616,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000272841","No"
"TJP1","tight junction protein 1 [Source:HGNC Symbol;Acc:11827]",-0.049284975,0.511710904,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000104067","No"
"DCTD","dCMP deaminase [Source:HGNC Symbol;Acc:2710]",-0.001910595,0.982617935,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000129187","No"
"CACNB4","calcium channel, voltage-dependent, beta 4 subunit [Source:HGNC Symbol;Acc:1404]",-0.011926635,0.912626015,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000182389","No"
"PHKB","phosphorylase kinase, beta [Source:HGNC Symbol;Acc:8927]",0.04240527,0.488649975,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000102893","No"
"PVR","poliovirus receptor [Source:HGNC Symbol;Acc:9705]",-0.107485071,0.355765107,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000073008","No"
"GMPR2","guanosine monophosphate reductase 2 [Source:HGNC Symbol;Acc:4377]",0.022806886,0.731261635,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000100938","No"
"FUT11","fucosyltransferase 11 (alpha (1,3) fucosyltransferase) [Source:HGNC Symbol;Acc:19233]",0.176415353,0.078528613,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000196968","No"
"DDX21","DEAD (Asp-Glu-Ala-Asp) box helicase 21 [Source:HGNC Symbol;Acc:2744]",-0.038734601,0.691775623,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000165732","No"
"GEMIN7","gem (nuclear organelle) associated protein 7 [Source:HGNC Symbol;Acc:20045]",-0.222061485,0.134700517,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000142252","No"
"ICA1","islet cell autoantigen 1, 69kDa [Source:HGNC Symbol;Acc:5343]",0.076798399,0.692898137,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000003147","No"
"RPL37","ribosomal protein L37 [Source:HGNC Symbol;Acc:10347]",-0.038039526,0.562625283,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000145592","No"
"WRAP73","WD repeat containing, antisense to TP73 [Source:HGNC Symbol;Acc:12759]",-0.280072247,0.036649243,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000116213","No"
"MAMDC4","MAM domain containing 4 [Source:HGNC Symbol;Acc:24083]",-0.270256481,0.025131139,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000177943","No"
"FRY","furry homolog (Drosophila) [Source:HGNC Symbol;Acc:20367]",0.10944736,0.453511485,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000073910","No"
"SEPT11","septin 11 [Source:HGNC Symbol;Acc:25589]",-0.213534599,0.025655274,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000138758","No"
"CREB3","cAMP responsive element binding protein 3 [Source:HGNC Symbol;Acc:2347]",-0.042594044,0.507183974,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000107175","No"
"ELMO1","engulfment and cell motility 1 [Source:HGNC Symbol;Acc:16286]",0.009816476,0.951701856,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000155849","No"
"CBWD3","COBW domain containing 3 [Source:HGNC Symbol;Acc:18519]",-0.402636474,0.065656886,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000196873","No"
"RP11-156P1.3","",0.028614761,0.817494038,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000262879","No"
"ATP6V0A2","ATPase, H+ transporting, lysosomal V0 subunit a2 [Source:HGNC Symbol;Acc:18481]",-0.086869078,0.370613119,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000185344","No"
"ADSSL1","adenylosuccinate synthase like 1 [Source:HGNC Symbol;Acc:20093]",0.321029386,0.106120183,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000185100","No"
"HHAT","hedgehog acyltransferase [Source:HGNC Symbol;Acc:18270]",0.303174453,0.073312605,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000054392","No"
"NES","nestin [Source:HGNC Symbol;Acc:7756]",0.096631453,0.634229892,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000132688","No"
"FAM71E1","family with sequence similarity 71, member E1 [Source:HGNC Symbol;Acc:25107]",-0.402009496,0.088467379,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000142530","No"
"CLIC4","chloride intracellular channel 4 [Source:HGNC Symbol;Acc:13518]",-0.083129453,0.360451293,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000169504","No"
"PPCS","phosphopantothenoylcysteine synthetase [Source:HGNC Symbol;Acc:25686]",0.174798806,0.062198784,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000127125","No"
"MAPK10","mitogen-activated protein kinase 10 [Source:HGNC Symbol;Acc:6872]",-0.148834641,0.261134343,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000109339","No"
"SNORA63","small nucleolar RNA, H/ACA box 63 [Source:HGNC Symbol;Acc:10106]",0.333806548,0.260294392,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000200320","No"
"AC004540.5","",0.258169049,0.28538309,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000214870","No"
"HSD17B2","hydroxysteroid (17-beta) dehydrogenase 2 [Source:HGNC Symbol;Acc:5211]",-1.024311256,0.062911032,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000086696","No"
"C17orf80","chromosome 17 open reading frame 80 [Source:HGNC Symbol;Acc:29601]",-0.111561735,0.108984748,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000141219","No"
"ZBTB18","zinc finger and BTB domain containing 18 [Source:HGNC Symbol;Acc:13030]",-0.139644204,0.407593803,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000179456","No"
"EXOSC8","exosome component 8 [Source:HGNC Symbol;Acc:17035]",-0.107606195,0.178802888,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000120699","No"
"GALNT12","UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 12 (GalNAc-T12) [Source:HGNC Symbol;Acc:19877]",0.656823259,0.093959699,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000119514","No"
"CNTNAP3","contactin associated protein-like 3 [Source:HGNC Symbol;Acc:13834]",-0.275981022,0.300260378,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000106714","No"
"TRMT10C","tRNA methyltransferase 10 homolog C (S. cerevisiae) [Source:HGNC Symbol;Acc:26022]",0.094370831,0.236793086,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000174173","No"
"SNORA14B","small nucleolar RNA, H/ACA box 14B [Source:HGNC Symbol;Acc:32603]",0.571508703,0.300445684,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000207181","No"
"RCAN2","regulator of calcineurin 2 [Source:HGNC Symbol;Acc:3041]",0.143028942,0.384299491,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000172348","No"
"STX12","syntaxin 12 [Source:HGNC Symbol;Acc:11430]",-0.008987465,0.890278643,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000117758","No"
"ZNF699","zinc finger protein 699 [Source:HGNC Symbol;Acc:24750]",0.155570291,0.178766761,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000196110","No"
"GPS2","G protein pathway suppressor 2 [Source:HGNC Symbol;Acc:4550]",-0.210543972,0.025461388,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000132522","No"
"ENKUR","enkurin, TRPC channel interacting protein [Source:HGNC Symbol;Acc:28388]",-0.373625935,0.173528501,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000151023","No"
"SLC25A17","solute carrier family 25 (mitochondrial carrier; peroxisomal membrane protein, 34kDa), member 17 [Source:HGNC Symbol;Acc:10987]",-0.079941011,0.407431119,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000100372","No"
"APOLD1","apolipoprotein L domain containing 1 [Source:HGNC Symbol;Acc:25268]",0.069830032,0.814158709,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000178878","No"
"SSSCA1","Sjogren syndrome/scleroderma autoantigen 1 [Source:HGNC Symbol;Acc:11328]",-0.259582671,0.048101502,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000173465","No"
"DYM","dymeclin [Source:HGNC Symbol;Acc:21317]",0.092862887,0.114349549,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000141627","No"
"ARNTL2","aryl hydrocarbon receptor nuclear translocator-like 2 [Source:HGNC Symbol;Acc:18984]",0.155404733,0.385140992,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000029153","No"
"PRTFDC1","phosphoribosyl transferase domain containing 1 [Source:HGNC Symbol;Acc:23333]",0.232300121,0.341627585,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000099256","No"
"PPP2R3B","protein phosphatase 2, regulatory subunit B'', beta [Source:HGNC Symbol;Acc:13417]",-0.071534263,0.568535207,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000167393","No"
"FAM127A","family with sequence similarity 127, member A [Source:HGNC Symbol;Acc:2569]",-0.04551668,0.625338426,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000134590","No"
"COL25A1","collagen, type XXV, alpha 1 [Source:HGNC Symbol;Acc:18603]",0.235114742,0.335450405,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000188517","No"
"SLC22A23","solute carrier family 22, member 23 [Source:HGNC Symbol;Acc:21106]",0.203450291,0.197976383,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000137266","No"
"RP11-292B8.1","",-0.089853078,0.74985992,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000215142","No"
"C16orf93","chromosome 16 open reading frame 93 [Source:HGNC Symbol;Acc:28078]",-0.5576052,0.018385277,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000196118","No"
"CDC42EP1","CDC42 effector protein (Rho GTPase binding) 1 [Source:HGNC Symbol;Acc:17014]",0.514157063,0.053405992,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000128283","No"
"RIT2","Ras-like without CAAX 2 [Source:HGNC Symbol;Acc:10017]",1.03131365,0.003867226,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000152214","No"
"LZTS3","Homo sapiens leucine zipper, putative tumor suppressor family member 3 (LZTS3), mRNA. [Source:RefSeq mRNA;Acc:NM_001282533]",0.210041138,0.066484815,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000088899","No"
"C2orf69","chromosome 2 open reading frame 69 [Source:HGNC Symbol;Acc:26799]",0.086164987,0.371252252,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000178074","No"
"KREMEN1","kringle containing transmembrane protein 1 [Source:HGNC Symbol;Acc:17550]",0.167020366,0.317623225,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000183762","No"
"INTS4","integrator complex subunit 4 [Source:HGNC Symbol;Acc:25048]",0.058624045,0.550309498,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000149262","No"
"KRT18","keratin 18 [Source:HGNC Symbol;Acc:6430]",0.308734159,0.390213202,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000111057","No"
"COG8","component of oligomeric golgi complex 8 [Source:HGNC Symbol;Acc:18623]",-0.036248248,0.603891388,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000213380","No"
"NOTCH2NL","notch 2 N-terminal like [Source:HGNC Symbol;Acc:31862]",0.047758125,0.856399855,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000213240","No"
"PTPRU","protein tyrosine phosphatase, receptor type, U [Source:HGNC Symbol;Acc:9683]",0.43083353,0.065229943,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000060656","No"
"ELP5","elongator acetyltransferase complex subunit 5 [Source:HGNC Symbol;Acc:30617]",-0.056194769,0.477710861,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000170291","No"
"CGNL1","cingulin-like 1 [Source:HGNC Symbol;Acc:25931]",1.047556627,0.004585003,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000128849","No"
"FAM47E","family with sequence similarity 47, member E [Source:HGNC Symbol;Acc:34343]",-0.017266314,0.938992133,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000189157","No"
"SIGIRR","single immunoglobulin and toll-interleukin 1 receptor (TIR) domain [Source:HGNC Symbol;Acc:30575]",0.041684068,0.930739663,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000185187","No"
"MFSD5","major facilitator superfamily domain containing 5 [Source:HGNC Symbol;Acc:28156]",-0.144114727,0.20039514,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000182544","No"
"WDYHV1","WDYHV motif containing 1 [Source:HGNC Symbol;Acc:25490]",0.273235649,0.037591696,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000156795","No"
"WNT3","wingless-type MMTV integration site family, member 3 [Source:HGNC Symbol;Acc:12782]",0.4648814,0.244879088,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000108379","No"
"ANTXR2","anthrax toxin receptor 2 [Source:HGNC Symbol;Acc:21732]",-0.414113033,6.21e-05,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000163297","No"
"CSDC2","cold shock domain containing C2, RNA binding [Source:HGNC Symbol;Acc:30359]",-0.002321883,0.982978611,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000172346","No"
"PHC1P1","polyhomeotic homolog 1 (Drosophila) pseudogene 1 [Source:HGNC Symbol;Acc:34502]",-0.538391761,0.027382794,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000179899","No"
"TFB2M","transcription factor B2, mitochondrial [Source:HGNC Symbol;Acc:18559]",0.018527753,0.833115641,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000162851","No"
"ETV1","ets variant 1 [Source:HGNC Symbol;Acc:3490]",-0.101048659,0.704469316,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000006468","No"
"PPRC1","peroxisome proliferator-activated receptor gamma, coactivator-related 1 [Source:HGNC Symbol;Acc:30025]",-0.002350518,0.984358951,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000148840","No"
"RBM18","RNA binding motif protein 18 [Source:HGNC Symbol;Acc:28413]",-0.169179669,0.022057877,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000119446","No"
"GDE1","glycerophosphodiester phosphodiesterase 1 [Source:HGNC Symbol;Acc:29644]",-0.153131118,0.242474554,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000006007","No"
"FAM195A","family with sequence similarity 195, member A [Source:HGNC Symbol;Acc:14142]",-0.07329254,0.633348994,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000172366","No"
"ABCC1","ATP-binding cassette, sub-family C (CFTR/MRP), member 1 [Source:HGNC Symbol;Acc:51]",0.097357869,0.470571759,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000103222","No"
"MRPL32","mitochondrial ribosomal protein L32 [Source:HGNC Symbol;Acc:14035]",-0.044991568,0.577682423,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000106591","No"
"C14orf169","chromosome 14 open reading frame 169 [Source:HGNC Symbol;Acc:20968]",2.742314646,0.140226753,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000255242","No"
"HRAS","Harvey rat sarcoma viral oncogene homolog [Source:HGNC Symbol;Acc:5173]",-0.137445033,0.198337492,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000174775","No"
"FAM3C","family with sequence similarity 3, member C [Source:HGNC Symbol;Acc:18664]",0.115159048,0.109209359,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000196937","No"
"MORC2","MORC family CW-type zinc finger 2 [Source:HGNC Symbol;Acc:23573]",-0.079807498,0.171727827,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000133422","No"
"CES4A","carboxylesterase 4A [Source:HGNC Symbol;Acc:26741]",-0.214441193,0.344293883,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000172824","No"
"GLYCTK-AS1","GLYCTK antisense RNA 1 [Source:HGNC Symbol;Acc:41043]",-0.196928902,0.488395635,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000242797","No"
"INTS5","integrator complex subunit 5 [Source:HGNC Symbol;Acc:29352]",-0.067801,0.425897134,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000185085","No"
"TMEM206","transmembrane protein 206 [Source:HGNC Symbol;Acc:25593]",-0.123949377,0.394897983,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000065600","No"
"TMEM147","transmembrane protein 147 [Source:HGNC Symbol;Acc:30414]",-0.264074937,0.022149922,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000105677","No"
"NEUROD1","neuronal differentiation 1 [Source:HGNC Symbol;Acc:7762]",-0.492610715,0.123257558,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000162992","No"
"WDR81","WD repeat domain 81 [Source:HGNC Symbol;Acc:26600]",-0.298501397,0.010127731,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000167716","No"
"MRPL28","mitochondrial ribosomal protein L28 [Source:HGNC Symbol;Acc:14484]",-0.142912936,0.120073423,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000086504","No"
"EMC8","ER membrane protein complex subunit 8 [Source:HGNC Symbol;Acc:7864]",-0.096376351,0.282593058,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000131148","No"
"PUSL1","pseudouridylate synthase-like 1 [Source:HGNC Symbol;Acc:26914]",-0.225395178,0.089732205,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000169972","No"
"LENG8-AS1","LENG8 antisense RNA 1 [Source:HGNC Symbol;Acc:40705]",-0.038600409,0.854912217,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000226696","No"
"RP11-509E16.1","",0.060464794,0.558440139,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000261452","No"
"FDX1L","ferredoxin 1-like [Source:HGNC Symbol;Acc:30546]",-0.164241259,0.179122606,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000267673","No"
"COPS3","COP9 signalosome subunit 3 [Source:HGNC Symbol;Acc:2239]",-0.099086072,0.25482735,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000141030","No"
"PPP2R3C","protein phosphatase 2, regulatory subunit B'', gamma [Source:HGNC Symbol;Acc:17485]",-0.157823709,0.150347381,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000092020","No"
"SUMF2","sulfatase modifying factor 2 [Source:HGNC Symbol;Acc:20415]",0.020625334,0.79780518,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000129103","No"
"NANS","N-acetylneuraminic acid synthase [Source:HGNC Symbol;Acc:19237]",-0.11593394,0.332221555,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000095380","No"
"TFIP11","tuftelin interacting protein 11 [Source:HGNC Symbol;Acc:17165]",-0.092597654,0.162757009,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000100109","No"
"RP11-410L14.2","",0.403101976,0.047781965,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000253948","No"
"WNT8B","wingless-type MMTV integration site family, member 8B [Source:HGNC Symbol;Acc:12789]",-0.736729164,0.322065186,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000075290","No"
"C4orf36","chromosome 4 open reading frame 36 [Source:HGNC Symbol;Acc:28386]",0.526683333,0.119138523,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000163633","No"
"KIRREL","kin of IRRE like (Drosophila) [Source:HGNC Symbol;Acc:15734]",0.119807264,0.181876126,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000183853","No"
"KIAA0922","KIAA0922 [Source:HGNC Symbol;Acc:29146]",0.159867049,0.287096042,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000121210","No"
"LARP6","La ribonucleoprotein domain family, member 6 [Source:HGNC Symbol;Acc:24012]",-0.149567838,0.202845484,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000166173","No"
"FAM169A","family with sequence similarity 169, member A [Source:HGNC Symbol;Acc:29138]",0.079531869,0.368829752,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000198780","No"
"SNORA11","Small nucleolar RNA SNORA11 [Source:RFAM;Acc:RF00614]",1.238757675,0.14524049,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000221750","No"
"YWHAH","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta [Source:HGNC Symbol;Acc:12853]",0.068423257,0.498287204,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000128245","No"
"ANKMY1","ankyrin repeat and MYND domain containing 1 [Source:HGNC Symbol;Acc:20987]",-0.151593976,0.387266573,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000144504","No"
"VWA3A","von Willebrand factor A domain containing 3A [Source:HGNC Symbol;Acc:27088]",-0.083181336,0.733905751,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000175267","No"
"FIGN","fidgetin [Source:HGNC Symbol;Acc:13285]",0.165046973,0.472194939,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000182263","No"
"LAMTOR5","late endosomal/lysosomal adaptor, MAPK and MTOR activator 5 [Source:HGNC Symbol;Acc:17955]",0.078232125,0.349953404,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000134248","No"
"C1orf95","chromosome 1 open reading frame 95 [Source:HGNC Symbol;Acc:30491]",0.144998227,0.265658553,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000203685","No"
"RP11-430H10.1","",-0.452687216,0.05959822,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000254427","No"
"ATP6V1C1","ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C1 [Source:HGNC Symbol;Acc:856]",-0.163061971,0.030634491,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000155097","No"
"ZBTB26","zinc finger and BTB domain containing 26 [Source:HGNC Symbol;Acc:23383]",0.173613644,0.064446723,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000171448","No"
"RPS12","ribosomal protein S12 [Source:HGNC Symbol;Acc:10385]",-0.068549115,0.455189753,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000112306","No"
"AMZ2P1","archaelysin family metallopeptidase 2 pseudogene 1 [Source:HGNC Symbol;Acc:26491]",0.124690433,0.506988564,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000214174","No"
"AS3MT","arsenic (+3 oxidation state) methyltransferase [Source:HGNC Symbol;Acc:17452]",-0.4787053,0.076368688,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000214435","No"
"AC002310.12","",-0.232787426,0.278577368,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000235560","No"
"ENTPD1-AS1","ENTPD1 antisense RNA 1 [Source:HGNC Symbol;Acc:45203]",-0.357677496,0.06052163,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000226688","No"
"TMEM191C","transmembrane protein 191C [Source:HGNC Symbol;Acc:33601]",-0.025685288,0.927545074,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000206140","No"
"SYNGR3","synaptogyrin 3 [Source:HGNC Symbol;Acc:11501]",0.160423184,0.063396986,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000127561","No"
"EIF3CL","eukaryotic translation initiation factor 3, subunit C-like [Source:HGNC Symbol;Acc:26347]",0.166811934,0.573458847,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000205609","No"
"MON1A","MON1 secretory trafficking family member A [Source:HGNC Symbol;Acc:28207]",-0.224662319,0.046668222,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000164077","No"
"RP11-545I5.3","",0.200532284,0.281797496,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000235652","No"
"HNRNPAB","heterogeneous nuclear ribonucleoprotein A/B [Source:HGNC Symbol;Acc:5034]",-0.071818472,0.362537882,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000197451","No"
"ZMYM6NB","ZMYM6 neighbor [Source:HGNC Symbol;Acc:40021]",0.442780677,0.173519621,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000243749","No"
"ZNF765","zinc finger protein 765 [Source:HGNC Symbol;Acc:25092]",-0.148727382,0.149969856,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000196417","No"
"KCNJ6","potassium inwardly-rectifying channel, subfamily J, member 6 [Source:HGNC Symbol;Acc:6267]",0.164752823,0.433173808,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000157542","No"
"NME3","NME/NM23 nucleoside diphosphate kinase 3 [Source:HGNC Symbol;Acc:7851]",-0.233456807,0.263441971,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000103024","No"
"KCNC4","potassium voltage-gated channel, Shaw-related subfamily, member 4 [Source:HGNC Symbol;Acc:6236]",0.237001246,0.231846141,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000116396","No"
"HMOX1","heme oxygenase (decycling) 1 [Source:HGNC Symbol;Acc:5013]",-0.493268282,0.164702083,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000100292","No"
"LSMD1","LSM domain containing 1 [Source:HGNC Symbol;Acc:28212]",-0.140224962,0.155691495,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000183011","No"
"SLC16A1","solute carrier family 16 (monocarboxylate transporter), member 1 [Source:HGNC Symbol;Acc:10922]",-0.192877577,0.120816977,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000155380","No"
"PIK3C2B","phosphatidylinositol-4-phosphate 3-kinase, catalytic subunit type 2 beta [Source:HGNC Symbol;Acc:8972]",0.09165464,0.464419501,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000133056","No"
"STXBP6","syntaxin binding protein 6 (amisyn) [Source:HGNC Symbol;Acc:19666]",0.187105105,0.515122863,"cortical_organoid_3_month","Urresti et al. 2021","ENSG00000168952","No"
